Top250
      195.      Ben-Hur(1959)
      196.      Le salaire de la peur(1953)
      197.      Persona(1966)
      198.      Rush(2013)
      199.      The Truman Show(1998)
      200.      Salinui chueok(2003)
      201.      12 Years a Slave(2013)
      202.      Million Dollar Baby(2004)
      203.      Mad Max: Fury Road(2015)
      204.      Blade Runner 2049(2017)
      205.      Les quatre cents coups(1959)
      206.      Spotlight(2015)
      207.      Logan(2017)
      208.      Before Sunrise(1995)
      209.      Amores perros(2000)
      210.      Hachi: A Dog's Tale(2009)
      211.      Prisoners(2013)
      212.      Butch Cassidy and the Sundance Kid(1969)
      213.      The Princess Bride(1987)
      214.      Kaze no tani no Naushika(1984)
      215.      Catch Me If You Can(2002)
      216.      Harry Potter and the Deathly Hallows: Part 2(2011)
      217.      La La Land(2016)
      218.      Rocky(1976)
      219.      The Maltese Falcon(1941)
      220.      The Grapes of Wrath(1940)
      221.      Barry Lyndon(1975)
"      222.      Monsters, Inc.(2001)"
      223.      A Wednesday(2008)
      224.      Le notti di Cabiria(1957)
      225.      Donnie Darko(2001)
      226.      Les diaboliques(1955)
      227.      Gandhi(1982)
      228.      The Terminator(1984)
      229.      Paper Moon(1973)
      230.      La haine(1995)
      231.      Groundhog Day(1993)
      232.      Touch of Evil(1958)
      233.      The Wizard of Oz(1939)
      234.      Dead Poets Society(1989)
      235.      Deadpool 2(2018)
      236.      Jaws(1975)
      237.      The Bourne Ultimatum(2007)
      238.      Faa yeung nin wa(2000)
      239.      The Help(2011)
      240.      Annie Hall(1977)
      241.      8½(1963)
      242.      The Best Years of Our Lives(1946)
      243.      Guardians of the Galaxy(2014)
"      244.      Paris, Texas(1984)"
      245.      Before Sunset(2004)
      246.      Mandariinid(2013)
      247.      Pirates of the Caribbean: The Curse of the Black Pearl(2003)
      248.      Mou gaan dou(2002)
      249.      Kis Uykusu(2014)
      250.      Twelve Monkeys(1995)
